game_id, icon, url, title, brief, content, create_time, onsale_time, big_pic, status, is_login
1,static/h5/htdocs/h5game/games/ccgl/cggl.jpg,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/ccgl,行且珍惜，测出轨有多易？,,,1467357419,1467357419,,3,1
2,static/h5/htdocs/h5game/games/symdsb/icon.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/symdsb,随意门（屌丝版）,,,1467357418,1467357418,,3,1
3,static/h5/htdocs/h5game/games/zwdzjs/icon.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/zwdzjs,植物大战僵尸,,,1467357417,1467357417,,3,1
4,static/h5/htdocs/h5game/games/bsqpz2/icon.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/bsqpz2,逼死强迫症2,,,1467357416,1467357416,,3,1
5,static/h5/htdocs/h5game/icon/xksds.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/xksds,胸口碎大石,,,1467357415,1467357415,,3,1
6,static/h5/htdocs/h5game/icon/flnu.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/flnu,粉绿男女,,,1467357414,1467357414,,3,1
7,static/h5/htdocs/h5game/icon/djz.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/djz,打击者,,,1467357413,1467357413,,3,1
8,static/h5/htdocs/h5game/icon/hjkg.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/hjkg,黄金矿工,,,1467357412,1467357412,,3,1
9,static/h5/htdocs/h5game/icon/bljqzffxwz.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/bljqzffxwz,反腐小王子,,,1467357411,1467357411,,3,1
10,static/h5/htdocs/h5game/icon/znm.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/znm,转你妹,,,1467357410,1467357410,,3,1
11,static/h5/htdocs/h5game/icon/zfj.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/zfj,纸飞机,,,1467357409,1467357409,,3,1
12,static/h5/htdocs/h5game/icon/ksiphone6.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/ksiphone6,狂射iphone6,,,1467357408,1467357408,,3,1
13,static/h5/htdocs/h5game/icon/tuzi.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/tuzi,小兔子快快跑,,,1467357407,1467357407,,3,1
14,static/h5/htdocs/h5game/icon/ttg.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/ttg,跳跳狗,,,1467357406,1467357406,,3,1
15,static/h5/htdocs/h5game/icon/saolei.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/saolei,扫雷,,,1467357405,1467357405,,3,1
16,static/h5/htdocs/h5game/icon/qbllk.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/qbllk,奇葩连连看,,,1467357404,1467357404,,3,1
17,static/h5/htdocs/h5game/icon/maomi.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/maomi,看你有多花,,,1467357403,1467357403,,3,1
18,static/h5/htdocs/h5game/icon/kaixinlian.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/kaixinlian,开心消消乐,,,1467357402,1467357402,,3,1
19,static/h5/htdocs/h5game/icon/jingzi.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/jingzi,拯救精子,,,1467357401,1467357401,,3,1
20,static/h5/htdocs/h5game/icon/dalaohu.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/dalaohu,打老虎,,,1467357400,1467357400,,3,1
21,static/h5/htdocs/h5game/icon/symh.png,http://www.h55game.cc/game/static/h5/htdocs/h5game/games/symh,色域迷惑人,,,1467357399,1467357399,,3,1
